labels,laserpower,source,age_day_staging,age_four_hour_staging
16.03.17.1.1,100,Crawling /afs,NaN,NaN
16.03.17.1.2,100,Crawling /afs,NaN,NaN
16.03.17.1.3,100,Crawling /afs,NaN,NaN
16.03.17.2.1,100,Crawling /afs,NaN,NaN
16.03.17.2.2,100,Crawling /afs,NaN,NaN
16.03.17.2.3,100,Crawling /afs,NaN,NaN
16.03.17.2.4,100,Crawling /afs,NaN,NaN
16.03.17.3.1,100,Crawling /afs,NaN,NaN
16.03.17.3.2,100,Crawling /afs,NaN,NaN
16.03.17.3.3,100,Crawling /afs,NaN,NaN
16.03.17.3.4,100,Crawling /afs,NaN,NaN
16.03.17.4.1,100,Crawling /afs,NaN,NaN
16.03.17.4.2,100,Crawling /afs,NaN,NaN
16.03.17.5.1,100,Crawling /afs,NaN,NaN
16.03.17.5.2,100,Crawling /afs,NaN,NaN
16.03.17.5.3,100,Crawling /afs,NaN,NaN
16.03.17.6.1,100,Crawling /afs,NaN,NaN
16.03.18.1.1,100,Crawling /afs,NaN,NaN
16.03.20.1.1,100,Crawling /afs,NaN,NaN
16.03.20.1.2,100,Crawling /afs,NaN,NaN
16.03.20.1.3,100,Crawling /afs,NaN,NaN
16.03.20.1.4,100,Crawling /afs,NaN,NaN
16.03.20.2.1,100,Crawling /afs,NaN,NaN
16.03.20.2.2,100,Crawling /afs,NaN,NaN
16.03.20.2.3,100,Crawling /afs,NaN,NaN
16.03.20.2.4,100,Crawling /afs,NaN,NaN
16.03.20.3.1,100,Crawling /afs,NaN,NaN
16.03.20.3.2,100,Crawling /afs,NaN,NaN
16.03.20.3.3,100,Crawling /afs,NaN,NaN
16.03.20.3.4,100,Crawling /afs,NaN,NaN
16.03.20.4.1,100,Crawling /afs,NaN,NaN
16.03.20.4.2,100,Crawling /afs,NaN,NaN
16.03.20.4.3,100,Crawling /afs,NaN,NaN
16.03.20.4.4,100,Crawling /afs,NaN,NaN
16.03.20.4.5,100,Crawling /afs,NaN,NaN
16.03.21.1.1,100,Crawling /afs,NaN,NaN
16.03.21.1.2,100,Crawling /afs,NaN,NaN
16.03.21.1.3,100,Crawling /afs,NaN,NaN
16.03.21.2.1,100,Crawling /afs,NaN,NaN
16.03.21.2.2,100,Crawling /afs,NaN,NaN
16.03.21.2.3,100,Crawling /afs,NaN,NaN
16.03.21.2.4,100,Crawling /afs,NaN,NaN
16.03.21.2.5,100,Crawling /afs,NaN,NaN
16.03.21.3.1,100,Crawling /afs,NaN,NaN
16.03.21.3.2,100,Crawling /afs,NaN,NaN
16.03.21.3.3,100,Crawling /afs,NaN,NaN
16.03.21.4.1,100,Crawling /afs,NaN,NaN
16.03.21.4.2,100,Crawling /afs,NaN,NaN
16.03.21.5.1,100,Crawling /afs,NaN,NaN
16.03.21.5.2,100,Crawling /afs,NaN,NaN
16.03.21.5.3,100,Crawling /afs,NaN,NaN
16.03.21.5.4,100,Crawling /afs,NaN,NaN
16.03.21.6.1,100,Crawling /afs,NaN,NaN
16.03.21.6.2,100,Crawling /afs,NaN,NaN
16.03.28.1.1,44,Crawling /afs,NaN,NaN
16.03.28.1.2,44,Crawling /afs,NaN,NaN
16.03.28.1.3,44,Crawling /afs,NaN,NaN
16.03.28.1.4,44,Crawling /afs,NaN,NaN
16.03.28.2.1,44,Crawling /afs,NaN,NaN
16.03.28.2.2,44,Crawling /afs,NaN,NaN
16.03.28.2.3,44,Crawling /afs,NaN,NaN
16.03.28.2.4,44,Crawling /afs,NaN,NaN
16.03.28.3.1,44,Crawling /afs,NaN,NaN
16.03.28.3.2,44,Crawling /afs,NaN,NaN
16.03.28.3.3,44,Crawling /afs,NaN,NaN
16.03.28.3.4,44,Crawling /afs,NaN,NaN
16.03.28.3.5,44,Crawling /afs,NaN,NaN
16.03.28.4.1,44,Crawling /afs,NaN,NaN
16.03.28.4.2,44,Crawling /afs,NaN,NaN
16.03.28.4.3,44,Crawling /afs,NaN,NaN
16.03.28.4.4,44,Crawling /afs,NaN,NaN
16.03.28.4.5,44,Crawling /afs,NaN,NaN
16.03.28.5.1,44,Crawling /afs,NaN,NaN
16.03.28.5.2,44,Crawling /afs,NaN,NaN
16.03.28.5.3,44,Crawling /afs,NaN,NaN
16.03.28.5.4,44,Crawling /afs,NaN,NaN
16.03.29.1.1,44,Crawling /afs,NaN,NaN
16.03.29.1.2,44,Crawling /afs,NaN,NaN
16.03.29.1.3,44,Crawling /afs,NaN,NaN
16.03.29.1.4,44,Crawling /afs,NaN,NaN
16.03.29.2.1,44,Crawling /afs,NaN,NaN
16.03.29.2.2,44,Crawling /afs,NaN,NaN
16.03.29.2.3,44,Crawling /afs,NaN,NaN
16.03.29.2.4,44,Crawling /afs,NaN,NaN
16.03.29.3.1,44,Crawling /afs,NaN,NaN
16.03.29.3.2,44,Crawling /afs,NaN,NaN
16.03.29.3.3,44,Crawling /afs,NaN,NaN
16.03.29.3.4,44,Crawling /afs,NaN,NaN
16.03.31.1.1,44,Crawling /afs,NaN,NaN
16.03.31.1.2,44,Crawling /afs,NaN,NaN
16.03.31.1.3,44,Crawling /afs,NaN,NaN
16.03.31.1.4,44,Crawling /afs,NaN,NaN
16.03.31.1.5,44,Crawling /afs,NaN,NaN
16.03.31.2.1,44,Crawling /afs,NaN,NaN
16.03.31.2.2,44,Crawling /afs,NaN,NaN
16.03.31.2.3,44,Crawling /afs,NaN,NaN
16.03.31.2.4,44,Crawling /afs,NaN,NaN
16.03.31.2.5,44,Crawling /afs,NaN,NaN
16.03.31.3.1,44,Crawling /afs,NaN,NaN
16.03.31.3.2,44,Crawling /afs,NaN,NaN
16.03.31.3.3,44,Crawling /afs,NaN,NaN
16.03.31.3.4,44,Crawling /afs,NaN,NaN
16.03.31.3.5,44,Crawling /afs,NaN,NaN
16.03.31.4.1,44,Crawling /afs,NaN,NaN
16.03.31.4.2,44,Crawling /afs,NaN,NaN
16.03.31.4.3,44,Crawling /afs,NaN,NaN
16.03.31.5.1,44,Crawling /afs,NaN,NaN
16.03.31.5.2,44,Crawling /afs,NaN,NaN
16.03.31.5.3,44,Crawling /afs,NaN,NaN
16.03.31.5.4,44,Crawling /afs,NaN,NaN
16.03.31.6.1,44,Crawling /afs,NaN,NaN
16.03.31.6.2,44,Crawling /afs,NaN,NaN
16.03.31.6.3,44,Crawling /afs,NaN,NaN
16.03.31.6.4,44,Crawling /afs,NaN,NaN
16.03.31.6.5,44,Crawling /afs,NaN,NaN
16.04.01.1.1,44,Crawling /afs,NaN,NaN
16.04.01.1.2,44,Crawling /afs,NaN,NaN
16.04.01.1.3,44,Crawling /afs,NaN,NaN
16.04.01.1.4,44,Crawling /afs,NaN,NaN
16.04.01.2.1,44,Crawling /afs,NaN,NaN
16.04.01.2.2,44,Crawling /afs,NaN,NaN
16.04.01.2.3,44,Crawling /afs,NaN,NaN
16.04.01.2.4,44,Crawling /afs,NaN,NaN
16.04.01.2.5,44,Crawling /afs,NaN,NaN
16.04.02.1.1,44,Crawling /afs,NaN,NaN
16.04.02.1.2,44,Crawling /afs,NaN,NaN
16.04.02.1.3,44,Crawling /afs,NaN,NaN
16.04.02.2.1,44,Crawling /afs,NaN,NaN
16.04.02.2.2,44,Crawling /afs,NaN,NaN
16.04.02.2.3,44,Crawling /afs,NaN,NaN
16.04.02.2.4,44,Crawling /afs,NaN,NaN
16.04.02.2.5,44,Crawling /afs,NaN,NaN
16.04.02.3.1,44,Crawling /afs,NaN,NaN
16.04.02.3.2,44,Crawling /afs,NaN,NaN
16.04.02.3.3,44,Crawling /afs,NaN,NaN
16.04.02.4.1,44,Crawling /afs,NaN,NaN
16.04.02.4.2,44,Crawling /afs,NaN,NaN
16.04.02.4.3,44,Crawling /afs,NaN,NaN
16.04.02.4.4,44,Crawling /afs,NaN,NaN
16.04.02.4.5,44,Crawling /afs,NaN,NaN
16.04.03.1.1,44,Crawling /afs,NaN,NaN
